order_id,user_id,order_date,days_since_last_order,product_id,product_category,order_value,is_repeat_order
70,7978,2023-03-25,,318,Cold & Cough,358.65,0
71,7998,2023-04-02,2.0,410,Digestive Health,389.02,1
72,6034,2023-05-08,43.0,474,Heart Care,1206.22,1
73,2186,2023-08-29,3.0,82,Digestive Health,1096.73,1
74,1823,2023-04-27,20.0,103,Digestive Health,1389.91,1
75,1827,2023-02-05,18.0,13,Cold & Cough,410.73,1
76,7921,2023-10-02,44.0,396,Heart Care,624.05,1
77,2713,2023-10-25,12.0,481,Pain Relief,305.71,1
78,7886,2023-06-10,23.0,136,Pain Relief,296.34,1
79,3575,2023-05-11,,311,Skin Care,306.12,0
80,364,2023-07-06,,363,Vitamins,152.28,0
81,3534,2023-03-05,43.0,36,Cold & Cough,1393.04,1
82,5897,2023-07-26,21.0,461,Heart Care,834.62,1
83,5712,2023-07-14,43.0,152,Skin Care,321.84,1
84,5549,2023-10-08,26.0,384,Diabetes Care,980.95,1
85,6830,2023-11-07,38.0,1,Heart Care,537.33,1
86,5364,2023-09-19,,165,Vitamins,746.41,0
87,3877,2023-05-26,,407,Digestive Health,1143.55,0
88,4223,2023-05-01,,340,Cold & Cough,986.0,0
89,5512,2023-01-13,,159,Diabetes Care,1238.86,0
90,379,2023-08-22,,126,Vitamins,975.22,0
91,3396,2023-07-24,32.0,454,Cold & Cough,927.16,1
92,1999,2023-08-06,,76,Cold & Cough,1078.29,0
93,1793,2023-10-13,4.0,91,Digestive Health,1443.25,1
94,2042,2023-08-26,,470,Digestive Health,313.83,0
95,5469,2023-09-16,40.0,272,Skin Care,953.86,1
96,3496,2023-09-01,,426,Skin Care,751.98,0
97,3687,2023-09-06,34.0,133,Digestive Health,483.77,1
98,5135,2023-05-20,16.0,123,Heart Care,743.83,1
99,2752,2023-04-29,,164,Skin Care,258.78,0
100,3138,2023-08-01,,356,Diabetes Care,1103.67,0
101,3340,2023-04-16,,170,Skin Care,779.0,0
102,6824,2023-10-22,,216,Vitamins,1371.53,0
103,3117,2023-08-03,25.0,245,Pain Relief,1422.7,1
104,4410,2023-09-07,,383,Cold & Cough,887.28,0
105,1798,2023-12-09,22.0,140,Vitamins,805.62,1
106,5564,2023-11-15,9.0,409,Vitamins,1127.64,1
107,4376,2023-02-12,,14,Vitamins,949.06,0
108,5266,2023-01-26,,220,Diabetes Care,1320.25,0
109,2132,2023-07-14,22.0,195,Heart Care,435.74,1
110,2280,2023-08-29,,386,Digestive Health,719.11,0
111,159,2023-11-29,15.0,384,Skin Care,220.32,1
112,563,2023-05-07,,400,Cold & Cough,204.35,0
113,1634,2023-03-06,,430,Pain Relief,988.8,0
114,3880,2023-08-27,,343,Pain Relief,911.36,0
115,5731,2023-03-25,,132,Digestive Health,648.01,0
116,7903,2023-12-13,37.0,160,Pain Relief,931.22,1
117,7439,2023-02-08,,491,Vitamins,685.48,0
118,4851,2023-12-23,,354,Digestive Health,996.78,0
119,6329,2023-10-17,,155,Digestive Health,1073.75,0
120,6412,2023-09-17,5.0,22,Heart Care,869.21,1
121,5305,2023-08-10,7.0,175,Pain Relief,1296.93,1
122,7871,2023-08-11,10.0,186,Cold & Cough,1353.63,1
123,1443,2023-10-03,40.0,376,Skin Care,1453.39,1
124,6346,2023-05-06,21.0,248,Vitamins,738.03,1
125,6806,2023-08-26,16.0,479,Pain Relief,526.55,1
126,4669,2023-09-11,,313,Cold & Cough,661.64,0
127,6972,2023-06-24,17.0,167,Diabetes Care,808.19,1
128,2291,2023-01-06,36.0,451,Skin Care,1096.6,1
129,4233,2023-10-12,32.0,486,Diabetes Care,265.58,1
130,6211,2023-01-09,29.0,124,Cold & Cough,792.73,1
131,763,2023-06-06,,151,Diabetes Care,695.94,0
132,5440,2023-10-09,28.0,298,Heart Care,788.9,1
133,2710,2023-04-29,17.0,181,Cold & Cough,762.56,1
134,989,2023-04-09,,370,Diabetes Care,575.99,0
135,1773,2023-04-10,7.0,379,Vitamins,523.27,1
136,2427,2023-12-29,,117,Heart Care,392.25,0
137,4376,2023-10-11,,65,Heart Care,211.45,0
138,2394,2023-01-07,7.0,358,Diabetes Care,1011.12,1
139,4703,2023-01-27,12.0,146,Vitamins,796.26,1
140,2069,2023-07-25,,482,Digestive Health,794.93,0
141,4029,2023-03-19,,38,Skin Care,999.75,0
142,1223,2023-05-08,,416,Skin Care,1431.32,0
143,971,2023-09-25,,286,Digestive Health,711.83,0
144,3117,2023-10-19,20.0,231,Vitamins,551.43,1
145,5088,2023-04-17,,31,Skin Care,1446.15,0
146,5125,2023-05-03,,109,Heart Care,1041.58,0
147,1424,2023-12-19,29.0,283,Pain Relief,361.32,1
148,4865,2023-12-26,19.0,241,Heart Care,194.06,1
149,7042,2023-10-29,41.0,233,Pain Relief,1077.97,1
150,5417,2023-11-28,,412,Diabetes Care,723.94,0
151,1221,2023-01-31,,466,Heart Care,1265.95,0
152,1360,2023-03-05,29.0,406,Heart Care,953.31,1
153,3840,2023-10-04,33.0,353,Heart Care,1094.64,1
154,4046,2023-11-06,21.0,225,Pain Relief,957.35,1
155,2052,2023-12-11,,14,Pain Relief,459.05,0
156,6730,2023-08-29,,138,Skin Care,204.31,0
157,4252,2023-10-27,,334,Vitamins,1386.7,0
158,3571,2023-08-29,,326,Digestive Health,813.83,0
159,2851,2023-03-24,,210,Heart Care,583.43,0
160,2702,2023-01-19,36.0,211,Cold & Cough,818.88,1
161,3726,2023-07-26,,46,Heart Care,490.74,0
162,7086,2023-01-28,27.0,264,Digestive Health,1483.96,1
163,1537,2023-08-15,41.0,266,Heart Care,990.56,1
164,6226,2023-05-28,,27,Diabetes Care,510.53,0
165,3590,2023-11-19,,451,Cold & Cough,804.36,0
166,4988,2023-01-08,36.0,410,Diabetes Care,1108.21,1
167,4525,2023-08-25,,209,Pain Relief,453.35,0
168,7759,2023-09-18,19.0,61,Cold & Cough,1273.39,1
169,5779,2023-08-22,16.0,140,Vitamins,1276.88,1
170,4516,2023-02-05,,75,Vitamins,407.32,0
171,2264,2023-05-17,33.0,396,Digestive Health,1303.46,1
172,6722,2023-08-17,10.0,2,Heart Care,1130.17,1
173,4413,2023-06-14,30.0,248,Heart Care,598.79,1
174,7124,2023-07-30,15.0,97,Cold & Cough,472.39,1
175,358,2023-12-06,25.0,163,Cold & Cough,788.52,1
176,6492,2023-03-06,3.0,421,Cold & Cough,1474.1,1
177,4115,2023-08-14,,495,Skin Care,598.19,0
178,817,2023-07-29,,270,Vitamins,170.72,0
179,7135,2023-11-16,22.0,336,Diabetes Care,251.02,1
180,5675,2023-10-01,44.0,204,Cold & Cough,258.43,1
181,3114,2023-01-19,35.0,489,Heart Care,996.18,1
182,5059,2023-02-16,15.0,36,Diabetes Care,1002.07,1
183,3556,2023-08-16,,51,Digestive Health,1005.56,0
184,1363,2023-06-16,,356,Heart Care,1369.62,0
185,6523,2023-05-06,10.0,29,Heart Care,633.93,1
186,4352,2023-03-29,,211,Skin Care,1070.43,0
187,1435,2023-09-12,,41,Skin Care,1325.63,0
188,7478,2023-05-11,30.0,299,Diabetes Care,463.45,1
189,5463,2023-10-07,44.0,5,Digestive Health,778.09,1
190,1295,2023-08-06,41.0,38,Vitamins,1426.07,1
191,5656,2023-07-16,,129,Vitamins,1291.16,0
192,6991,2023-06-01,37.0,248,Pain Relief,470.23,1
193,5729,2023-01-05,18.0,152,Pain Relief,1470.23,1
194,4637,2023-11-07,,443,Cold & Cough,1200.72,0
195,6105,2023-11-07,15.0,255,Digestive Health,1370.61,1
196,6570,2023-12-04,44.0,181,Diabetes Care,1009.43,1
197,5578,2023-06-08,,430,Diabetes Care,998.13,0
198,6461,2023-02-16,,226,Pain Relief,932.42,0
199,7452,2023-04-13,,152,Heart Care,1159.1,0
200,1083,2023-09-14,34.0,403,Skin Care,1333.22,1
201,7484,2023-06-23,19.0,140,Digestive Health,372.13,1
202,6589,2023-04-26,,59,Vitamins,1449.91,0
203,7047,2023-07-07,36.0,347,Cold & Cough,1060.45,1
204,740,2023-08-21,,405,Vitamins,168.79,0
205,3020,2023-07-10,41.0,345,Cold & Cough,1057.66,1
206,888,2023-04-24,40.0,346,Diabetes Care,786.49,1
207,5306,2023-07-29,42.0,33,Cold & Cough,1262.2,1
208,956,2023-03-01,32.0,72,Pain Relief,1427.45,1
209,797,2023-12-10,24.0,121,Skin Care,333.15,1
210,7778,2023-03-21,38.0,381,Cold & Cough,1427.07,1
211,7254,2023-07-28,40.0,213,Cold & Cough,283.68,1
212,7693,2023-08-16,14.0,488,Heart Care,194.17,1
213,3643,2023-12-18,,487,Diabetes Care,1304.86,0
214,3010,2023-04-08,18.0,279,Cold & Cough,634.21,1
215,7932,2023-12-06,,63,Digestive Health,1262.66,0
216,1738,2023-01-26,,329,Cold & Cough,956.15,0
217,6446,2023-02-05,,171,Diabetes Care,1484.91,0
218,6798,2023-04-30,,392,Skin Care,429.66,0
219,2692,2023-05-22,,397,Diabetes Care,1214.67,0
220,7033,2023-02-26,,75,Diabetes Care,879.29,0
221,5416,2023-10-29,16.0,444,Pain Relief,327.93,1
222,2653,2023-08-04,,9,Diabetes Care,508.25,0
223,4310,2023-09-20,24.0,59,Cold & Cough,235.8,1
224,4864,2023-12-04,,56,Vitamins,830.18,0
225,4272,2023-02-01,,155,Vitamins,1018.51,0
226,3924,2023-09-09,,434,Vitamins,725.47,0
227,5836,2023-06-14,,466,Vitamins,249.21,0
228,4984,2023-11-02,25.0,76,Pain Relief,320.36,1
229,4347,2023-12-26,7.0,151,Vitamins,832.49,1
230,938,2023-08-09,,437,Cold & Cough,1028.74,0
231,3700,2023-08-01,26.0,455,Diabetes Care,708.65,1
232,5977,2023-03-20,24.0,49,Heart Care,726.13,1
233,5627,2023-02-17,,473,Vitamins,240.63,0
234,3538,2023-10-12,,50,Cold & Cough,1147.37,0
235,492,2023-07-30,,301,Skin Care,908.27,0
236,2897,2023-05-28,4.0,448,Cold & Cough,1420.53,1
237,4919,2023-03-21,,160,Heart Care,289.86,0
238,5380,2023-07-08,36.0,247,Diabetes Care,1293.82,1
239,942,2023-11-15,36.0,391,Heart Care,925.04,1
240,5027,2023-04-03,2.0,346,Cold & Cough,901.6,1
241,2239,2023-01-04,23.0,360,Digestive Health,567.13,1
242,1487,2023-03-14,5.0,446,Diabetes Care,914.53,1
243,6071,2023-07-12,,325,Pain Relief,273.87,0
244,3440,2023-10-18,21.0,233,Heart Care,362.5,1
245,4885,2023-12-12,,44,Pain Relief,360.03,0
246,669,2023-08-15,39.0,140,Vitamins,1043.62,1
247,3393,2023-06-26,,140,Diabetes Care,1169.17,0
248,3522,2023-12-08,34.0,57,Heart Care,1065.59,1
249,2527,2023-01-04,,24,Diabetes Care,683.61,0
250,1675,2023-06-17,19.0,155,Diabetes Care,1185.92,1
251,983,2023-03-08,,4,Vitamins,1158.47,0
252,3115,2023-07-23,5.0,273,Cold & Cough,460.65,1
253,7060,2023-06-10,5.0,380,Pain Relief,738.9,1
254,4717,2023-02-28,19.0,220,Skin Care,695.97,1
255,3319,2023-07-05,45.0,11,Heart Care,382.03,1
256,722,2023-07-25,38.0,224,Digestive Health,292.92,1
257,4293,2023-06-20,15.0,41,Vitamins,1325.21,1
258,6383,2023-09-29,,87,Pain Relief,839.15,0
259,4178,2023-05-01,,100,Digestive Health,621.66,0
260,843,2023-12-02,,75,Heart Care,416.32,0
261,618,2023-10-24,37.0,91,Digestive Health,997.73,1
262,3678,2023-06-11,41.0,349,Skin Care,1018.04,1
263,1237,2023-10-30,18.0,226,Pain Relief,783.04,1
264,461,2023-01-20,29.0,181,Skin Care,250.16,1
265,467,2023-11-11,,189,Digestive Health,537.55,0
266,4867,2023-08-19,,260,Vitamins,774.66,0
267,7447,2023-09-01,39.0,415,Skin Care,1029.98,1
268,4108,2023-09-16,6.0,78,Pain Relief,758.21,1
269,5294,2023-09-26,29.0,89,Pain Relief,484.45,1
270,4283,2023-07-29,25.0,313,Diabetes Care,641.26,1
271,6345,2023-06-18,5.0,174,Cold & Cough,957.15,1
272,775,2023-11-05,43.0,286,Cold & Cough,671.86,1
273,7154,2023-06-29,,77,Heart Care,260.03,0
274,2542,2023-11-01,9.0,496,Cold & Cough,1092.95,1
275,5807,2023-06-18,42.0,481,Pain Relief,567.94,1
276,6662,2023-11-27,,66,Cold & Cough,1098.82,0
277,5493,2023-04-03,20.0,217,Skin Care,638.47,1
278,7792,2023-04-26,13.0,110,Heart Care,1429.35,1
279,1127,2023-09-17,,80,Pain Relief,549.32,0
280,6316,2023-12-05,,277,Digestive Health,1147.17,0
281,2759,2023-03-25,10.0,449,Digestive Health,984.34,1
282,1482,2023-08-13,,426,Cold & Cough,1190.98,0
283,358,2023-08-16,,211,Heart Care,1063.09,0
284,5002,2023-10-01,15.0,146,Digestive Health,1160.52,1
285,1960,2023-07-08,,159,Digestive Health,1208.9,0
286,5557,2023-07-15,19.0,485,Skin Care,1478.99,1
287,4120,2023-11-06,,271,Vitamins,1454.46,0
288,1134,2023-10-11,24.0,447,Heart Care,220.44,1
289,7654,2023-05-26,,53,Cold & Cough,1291.95,0
290,688,2023-08-12,,391,Diabetes Care,518.27,0
291,752,2023-08-01,2.0,485,Diabetes Care,1252.55,1
292,437,2023-07-11,6.0,203,Skin Care,654.85,1
293,1840,2023-03-12,10.0,15,Heart Care,1406.61,1
294,314,2023-12-28,,147,Digestive Health,787.81,0
295,3843,2023-01-10,,230,Skin Care,157.09,0
296,2097,2023-05-28,8.0,111,Digestive Health,351.85,1
297,1947,2023-11-15,41.0,155,Pain Relief,214.46,1
298,3745,2023-10-02,39.0,33,Pain Relief,1279.53,1
299,135,2023-05-30,,324,Skin Care,926.31,0
300,3517,2023-12-07,12.0,1,Skin Care,626.3,1
301,5475,2023-09-27,,44,Skin Care,1465.78,0
302,4458,2023-07-19,,260,Digestive Health,1484.25,0
303,7155,2023-01-09,17.0,241,Pain Relief,1008.16,1
304,2926,2023-10-25,,404,Pain Relief,615.48,0
305,6023,2023-06-23,35.0,388,Heart Care,330.1,1
306,6665,2023-09-03,45.0,330,Diabetes Care,1271.02,1
307,5176,2023-05-31,3.0,94,Digestive Health,332.05,1
308,1652,2023-06-11,,23,Digestive Health,419.28,0
309,7647,2023-01-19,17.0,159,Skin Care,687.6,1
310,6171,2023-12-02,,332,Diabetes Care,536.25,0
311,2720,2023-08-14,26.0,140,Pain Relief,1229.11,1
312,7329,2023-09-12,,490,Vitamins,607.7,0
313,5670,2023-08-06,6.0,255,Heart Care,1397.82,1
314,647,2023-10-07,,221,Skin Care,1493.38,0
315,2407,2023-08-17,20.0,165,Pain Relief,258.09,1
316,4937,2023-08-17,23.0,368,Vitamins,374.97,1
317,347,2023-11-24,18.0,373,Digestive Health,1380.67,1
318,6484,2023-09-20,24.0,486,Pain Relief,251.31,1
319,6563,2023-03-15,,384,Cold & Cough,365.98,0
320,6953,2023-03-06,,312,Cold & Cough,1204.77,0
321,551,2023-10-18,25.0,121,Digestive Health,1020.97,1
322,266,2023-08-16,24.0,310,Diabetes Care,1066.73,1
323,6252,2023-06-10,26.0,40,Skin Care,335.89,1
324,5322,2023-04-06,,143,Diabetes Care,1446.7,0
325,4089,2023-05-15,,266,Vitamins,1383.28,0
326,6349,2023-09-09,45.0,134,Cold & Cough,752.47,1
327,1640,2024-01-01,12.0,63,Diabetes Care,1301.32,1
328,3647,2023-06-27,43.0,45,Digestive Health,1070.6,1
329,5813,2023-12-31,11.0,34,Skin Care,881.93,1
330,5813,2023-04-25,33.0,475,Cold & Cough,1010.9,1
331,995,2023-07-04,2.0,103,Digestive Health,337.48,1
332,4539,2023-11-10,,294,Heart Care,781.0,0
333,7244,2023-07-30,34.0,45,Pain Relief,567.54,1
334,6301,2023-06-12,,210,Digestive Health,926.12,0
335,5263,2023-10-10,9.0,38,Vitamins,778.87,1
336,5242,2023-08-10,,301,Diabetes Care,1186.51,0
337,4120,2023-09-23,,467,Digestive Health,224.81,0
338,1254,2023-06-27,,156,Diabetes Care,368.66,0
339,7762,2023-05-09,,482,Skin Care,1358.15,0
340,1609,2023-10-01,40.0,326,Skin Care,520.51,1
341,766,2023-03-29,,258,Cold & Cough,377.66,0
342,5397,2023-01-22,37.0,320,Cold & Cough,1367.7,1
343,6761,2023-04-18,42.0,443,Pain Relief,259.65,1
344,6283,2023-09-12,,293,Vitamins,984.45,0
345,7283,2023-05-06,31.0,322,Skin Care,541.06,1
346,6593,2023-12-19,5.0,414,Cold & Cough,698.22,1
347,491,2023-06-24,14.0,81,Vitamins,711.09,1
348,4970,2023-07-24,23.0,74,Heart Care,1313.0,1
349,1072,2023-06-13,,390,Heart Care,845.22,0
350,1981,2023-03-14,,239,Pain Relief,511.09,0
351,794,2023-03-23,16.0,26,Heart Care,1426.27,1
352,6665,2023-03-23,,168,Skin Care,1123.52,0
353,4082,2023-01-12,32.0,264,Vitamins,823.33,1
354,738,2023-04-21,,484,Vitamins,832.35,0
355,4779,2023-12-01,39.0,181,Pain Relief,218.23,1
356,5510,2023-08-09,,241,Heart Care,874.53,0
357,1098,2023-01-24,24.0,452,Heart Care,1132.14,1
358,3282,2023-05-28,36.0,27,Skin Care,908.45,1
359,603,2023-12-15,40.0,198,Skin Care,757.98,1
360,5006,2023-06-23,24.0,61,Diabetes Care,1466.36,1
361,4570,2023-11-05,,481,Heart Care,1169.2,0
362,4171,2023-03-12,,206,Skin Care,204.34,0
363,5846,2023-11-07,10.0,171,Digestive Health,789.55,1
364,7317,2023-07-21,11.0,264,Diabetes Care,592.75,1
365,5051,2023-09-18,33.0,379,Digestive Health,553.97,1
366,4361,2023-07-08,2.0,251,Cold & Cough,909.95,1
367,2714,2023-11-19,45.0,345,Pain Relief,1472.86,1
368,219,2023-01-27,,306,Vitamins,508.47,0
369,4781,2023-12-15,10.0,246,Diabetes Care,857.71,1
370,1985,2023-04-08,,17,Skin Care,1430.08,0
371,156,2023-04-15,45.0,226,Heart Care,715.35,1
372,3362,2023-12-28,4.0,257,Digestive Health,975.5,1
373,1132,2023-07-12,34.0,266,Diabetes Care,907.2,1
374,2571,2023-07-01,35.0,490,Diabetes Care,770.55,1
375,5537,2023-09-05,40.0,396,Digestive Health,1123.25,1
376,1576,2023-06-02,15.0,491,Diabetes Care,526.66,1
377,6318,2023-09-03,21.0,148,Cold & Cough,429.83,1
378,2858,2023-10-21,8.0,287,Digestive Health,1124.25,1
379,5543,2023-03-16,23.0,279,Vitamins,1359.28,1
380,2380,2023-06-27,,22,Heart Care,1439.67,0
381,7570,2023-04-14,14.0,227,Cold & Cough,496.2,1
382,6783,2023-02-25,9.0,276,Heart Care,1409.58,1
383,5044,2023-12-09,,380,Skin Care,473.03,0
384,7416,2023-02-21,,272,Diabetes Care,1011.23,0
385,3386,2023-01-03,,170,Cold & Cough,787.75,0
386,7902,2023-11-30,31.0,282,Diabetes Care,699.33,1
387,1634,2023-02-15,,388,Heart Care,583.58,0
388,5344,2023-03-31,,294,Diabetes Care,872.46,0
389,3424,2023-07-23,,452,Digestive Health,387.31,0
390,6455,2023-01-05,3.0,254,Diabetes Care,1414.42,1
391,2445,2023-08-21,19.0,291,Skin Care,294.86,1
392,5254,2023-09-16,,279,Skin Care,816.78,0
393,3835,2023-08-23,11.0,140,Diabetes Care,1241.9,1
394,5311,2023-10-18,19.0,132,Cold & Cough,401.37,1
395,5525,2023-09-21,28.0,388,Diabetes Care,386.92,1
396,2687,2023-03-13,,45,Vitamins,1053.5,0
397,3912,2023-08-17,16.0,166,Diabetes Care,159.22,1
398,6175,2023-05-14,,137,Heart Care,557.63,0
399,5355,2023-08-27,,185,Cold & Cough,469.01,0
400,2514,2023-03-02,45.0,82,Vitamins,1076.2,1
401,5233,2023-04-23,,470,Heart Care,646.18,0
402,7843,2023-12-26,27.0,69,Vitamins,356.8,1
403,4500,2023-05-07,,468,Vitamins,1172.42,0
404,5574,2023-09-27,,387,Skin Care,1328.73,0
405,3660,2023-02-01,,271,Cold & Cough,638.41,0
406,6790,2023-03-26,,281,Skin Care,422.91,0
407,2688,2023-10-26,,438,Skin Care,746.48,0
408,4005,2023-08-21,,47,Skin Care,751.4,0
409,1081,2023-10-14,,263,Vitamins,766.68,0
410,3788,2023-07-22,,345,Digestive Health,566.03,0
411,2085,2023-01-24,,419,Pain Relief,1156.84,0
412,3471,2023-02-05,,177,Cold & Cough,236.08,0
413,7650,2023-03-11,,242,Pain Relief,537.57,0
414,6274,2023-07-15,24.0,329,Cold & Cough,1021.94,1
415,3675,2023-12-01,,446,Vitamins,657.12,0
416,7048,2023-03-07,34.0,179,Pain Relief,390.94,1
417,5963,2023-06-02,,115,Digestive Health,154.69,0
418,3793,2023-05-07,15.0,345,Cold & Cough,885.0,1
419,3774,2023-01-17,,178,Diabetes Care,522.13,0
420,6632,2023-05-04,,339,Vitamins,980.15,0
421,1689,2023-12-11,39.0,35,Pain Relief,951.82,1
422,5762,2023-07-25,,447,Pain Relief,480.39,0
423,3596,2023-03-13,,120,Skin Care,443.31,0
424,4128,2023-11-03,37.0,149,Diabetes Care,1251.31,1
425,6329,2023-12-05,10.0,345,Digestive Health,582.9,1
426,4271,2023-10-13,,114,Vitamins,555.68,0
427,7771,2023-09-11,36.0,303,Cold & Cough,1380.63,1
428,385,2023-06-13,34.0,498,Heart Care,1421.14,1
429,5705,2023-10-03,12.0,214,Vitamins,351.44,1
430,3880,2023-08-26,,124,Digestive Health,454.22,0
431,7494,2023-09-29,36.0,30,Skin Care,707.11,1
432,1099,2023-02-10,42.0,199,Diabetes Care,494.24,1
433,7555,2023-01-27,,231,Digestive Health,650.95,0
434,2200,2023-02-07,,194,Cold & Cough,966.71,0
435,1542,2023-09-03,,412,Digestive Health,943.24,0
436,1712,2023-04-19,,446,Heart Care,559.3,0
437,7678,2023-12-23,16.0,98,Cold & Cough,308.38,1
438,4952,2023-10-10,,361,Diabetes Care,685.45,0
439,2635,2023-05-14,20.0,398,Heart Care,663.89,1
440,2947,2023-04-15,21.0,263,Vitamins,779.11,1
441,3037,2023-03-16,,161,Vitamins,211.72,0
442,133,2023-03-20,19.0,134,Skin Care,1411.92,1
443,1608,2023-09-13,,169,Diabetes Care,662.78,0
444,4511,2023-09-09,42.0,336,Cold & Cough,605.71,1
445,3776,2023-03-13,,87,Cold & Cough,1223.22,0
446,5901,2023-09-26,,280,Vitamins,398.46,0
447,278,2023-01-04,,430,Digestive Health,250.35,0
448,3379,2023-12-29,,71,Digestive Health,1001.45,0
449,1238,2023-11-13,4.0,5,Diabetes Care,832.74,1
450,5225,2023-01-04,2.0,342,Skin Care,1382.21,1
451,4360,2023-05-27,35.0,283,Vitamins,166.0,1
452,141,2023-02-24,12.0,258,Digestive Health,1092.11,1
453,7521,2023-11-14,,50,Skin Care,351.01,0
454,4313,2023-07-11,6.0,130,Digestive Health,628.5,1
455,7859,2023-06-03,,208,Vitamins,912.75,0
456,5604,2023-02-17,,424,Digestive Health,258.83,0
457,3321,2023-11-23,,195,Vitamins,896.15,0
458,78,2023-06-19,42.0,360,Diabetes Care,261.63,1
459,4636,2023-04-28,,440,Pain Relief,1357.97,0
460,1732,2023-01-24,18.0,462,Digestive Health,1084.59,1
461,7571,2023-04-02,,39,Cold & Cough,1399.54,0
462,7609,2023-10-28,,436,Heart Care,171.14,0
463,1182,2023-06-03,5.0,386,Digestive Health,1112.16,1
464,1331,2023-10-04,44.0,289,Diabetes Care,915.04,1
465,2718,2023-09-14,,197,Digestive Health,1148.66,0
466,6107,2023-02-08,15.0,499,Heart Care,222.49,1
467,2791,2023-01-16,21.0,310,Digestive Health,978.72,1
468,5195,2023-07-02,15.0,140,Digestive Health,1489.99,1
469,4531,2023-11-13,6.0,482,Vitamins,732.99,1
